web-scraper-order,web-scraper-start-url,countries
"1531834983-5","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Andorra"
"1531834983-192","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Uzbekistan"
"1531834983-167","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Korea, Republic of (South Korea)"
"1531834983-153","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Saint Vincent's & Grenadines"
"1531834983-88","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Italy"
"1531834983-55","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Ecuador"
"1531834983-152","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Saint Lucia"
"1531834983-19","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Belgium"
"1531834983-164","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Solomon Islands"
"1531834983-111","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Maldives"
"1531834983-124","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Morocco"
"1531834983-189","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","United Arab Emirates"
"1531834983-161","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Singapore"
"1531834983-104","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Liechtenstein"
"1531834983-145","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Puerto Rico"
"1531834983-157","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Senegal"
"1531834983-39","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Chad"
"1531834983-46","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Croatia"
"1531834983-32","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Burundi"
"1531834983-128","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Netherlands"
"1531834983-108","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Madagascar"
"1531834983-6","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Angola"
"1531834983-26","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Botswana"
"1531834983-45","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Costa Rica"
"1531834983-163","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Slovenia"
